id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price,last_review,reviews_per_month
1021559064135374208,Angani Place - Your Tranquil Retreat,426253886,Aggie,SECOND WARD,42.6465513898019,-73.7597240543698,Entire home/apt,1,6,3,252,6,100.0,2024-02-19,2
1023053182224590019,Great home in Albany,496990578,Brian,ELEVENTH WARD,42.66838,-73.77868,Entire home/apt,2,13,1,38,13,102.0,2024-02-29,3
1028530521404077289,The Emerald Escape | Two Bed Apartment,462767507,Joshua,SIXTH WARD,42.6548739778048,-73.7651986872366,Entire home/apt,3,5,4,328,5,91.0,2024-02-24,1
1034818819017081948,"House w/ pond, gardens, sunroom and foosball",392833833,Mary,TWELFTH WARD,42.6759553661711,-73.7926084400249,Entire home/apt,2,4,1,259,4,155.0,2024-02-29,1
1040121861433023182,Good Vibes Only,519143007,Philip,ELEVENTH WARD,42.6736802909505,-73.78413107868,Entire home/apt,1,11,1,164,11,60.0,2024-03-03,3
1040624808363695229,Safe - Sweet -Serene - Long Term,42708277,Rodney,SIXTH WARD,42.6544688797343,-73.7607786245606,Entire home/apt,1,10,2,215,10,91.0,2024-02-26,4
1041185569146627476,"Great Value!  6 Beds!  W/D, & Parking!",65282034,Archer,TENTH WARD,42.6610689317925,-73.789730600447,Entire home/apt,2,6,1,323,6,114.0,2024-02-07,2
1043565517982254841,2 bed room Apartment,212885959,Osas,SECOND WARD,42.6397570843092,-73.7570521410413,Entire home/apt,1,4,1,258,4,90.0,2024-02-27,4
1053892116573935214,Smoking allowed on front porch! Massage recliner!,552465537,Kemba,NINTH WARD,42.6598860517125,-73.7920570376047,Entire home/apt,1,1,1,356,1,150.0,2024-03-06,1
1055481757202000214,Garden View Ground Apartment,28987572,Bryce,SIXTH WARD,42.650987347697,-73.7630776780268,Entire home/apt,2,2,1,95,2,125.0,2024-02-29,2
1062527013885315764,private twin room prime location,20536619,Emily,THIRTEENTH WARD,42.6709606838697,-73.7951393804075,Private room,5,2,3,179,2,60.0,2024-02-10,1
1072781767409521866,The Bluebird’s Nest,426223840,Antonio,ELEVENTH WARD,42.6639156561437,-73.7778694555163,Entire home/apt,1,7,2,256,7,102.0,2024-03-03,5
1075444056381274297,The Tangerine Door,542733174,Rebecca,TWELFTH WARD,42.6790816169015,-73.7950490341753,Entire home/apt,2,3,1,238,3,125.0,2024-03-10,2
1079742757364810916,Lark St Oasis: Parking & Laundry,119340359,Lori,SIXTH WARD,42.6560707363436,-73.7634532340547,Entire home/apt,28,6,2,20,6,106.0,2024-03-10,6
1104977057298366617,"Safe, Affordable, Adorable w/ Hot Tub and Coffee",382970529,Thomas,THIRTEENTH WARD,42.6694309893847,-73.7988196235773,Private room,1,1,10,0,1,51.0,2024-03-07,1
